date,id,location,quality,remark,source,lat,long
2020-06-23,999273,Kilchberg / Seebad Schoren,Ausgezeichnet,,Kantonales Labor Zürich,8.554211951,47.31852105
2020-08-17,999273,Kilchberg / Seebad Schoren,Ausgezeichnet,,Kantonales Labor Zürich,8.554211951,47.31852105
2021-05-20,999273,Kilchberg / Seebad Schoren,Ausgezeichnet,,Kantonales Labor Zürich,8.554211951,47.31852105
2021-06-17,999273,Kilchberg / Seebad Schoren,Ausgezeichnet,,Kantonales Labor Zürich,8.554211951,47.31852105
2021-05-20,999276,Erlenbach / Strandbad Winkel,Ausgezeichnet,,Kantonales Labor Zürich,8.596149599,47.29740053
2021-06-17,999276,Erlenbach / Strandbad Winkel,Ausgezeichnet,,Kantonales Labor Zürich,8.596149599,47.29740053
2019-08-20,999276,Erlenbach / Strandbad Winkel,Ausgezeichnet,,Kantonales Labor Zürich,8.596149599,47.29740053
2020-05-26,999276,Erlenbach / Strandbad Winkel,Ausgezeichnet,,Kantonales Labor Zürich,8.596149599,47.29740053
2020-06-23,999276,Erlenbach / Strandbad Winkel,Ausgezeichnet,,Kantonales Labor Zürich,8.596149599,47.29740053
2020-08-17,999276,Erlenbach / Strandbad Winkel,Ausgezeichnet,,Kantonales Labor Zürich,8.596149599,47.29740053
2021-05-20,999276,Erlenbach / Strandbad Winkel,Ausgezeichnet,,Kantonales Labor Zürich,8.596149599,47.29740053
2021-06-17,999276,Erlenbach / Strandbad Winkel,Ausgezeichnet,,Kantonales Labor Zürich,8.596149599,47.29740053
2021-05-20,999277,Herrliberg / Steinrad,Ausgezeichnet,,Kantonales Labor Zürich,8.600435283,47.29139345
2021-06-17,999277,Herrliberg / Steinrad,Ausgezeichnet,,Kantonales Labor Zürich,8.600435283,47.29139345
2019-08-20,999277,Herrliberg / Steinrad,Gut,,Kantonales Labor Zürich,8.600435283,47.29139345
2020-05-26,999277,Herrliberg / Steinrad,Ausgezeichnet,,Kantonales Labor Zürich,8.600435283,47.29139345
2020-06-23,999277,Herrliberg / Steinrad,Ausgezeichnet,,Kantonales Labor Zürich,8.600435283,47.29139345
2020-08-17,999277,Herrliberg / Steinrad,Ausgezeichnet,,Kantonales Labor Zürich,8.600435283,47.29139345
2021-05-20,999277,Herrliberg / Steinrad,Ausgezeichnet,,Kantonales Labor Zürich,8.600435283,47.29139345
2021-06-17,999277,Herrliberg / Steinrad,Ausgezeichnet,,Kantonales Labor Zürich,8.600435283,47.29139345
2021-05-31,999278,Meilen / Strandbad Feldmeilen,Ausgezeichnet,,Kantonales Labor Zürich,8.62109299,47.27494658
2019-07-24,999278,Meilen / Strandbad Feldmeilen,Ausgezeichnet,,Kantonales Labor Zürich,8.62109299,47.27494658
2020-05-26,999278,Meilen / Strandbad Feldmeilen,Ausgezeichnet,,Kantonales Labor Zürich,8.62109299,47.27494658
2020-07-20,999278,Meilen / Strandbad Feldmeilen,Ausgezeichnet,,Kantonales Labor Zürich,8.62109299,47.27494658
2021-05-31,999278,Meilen / Strandbad Feldmeilen,Ausgezeichnet,,Kantonales Labor Zürich,8.62109299,47.27494658
2021-07-15,999278,Meilen / Strandbad Feldmeilen,Ausgezeichnet,,Kantonales Labor Zürich,8.62109299,47.27494658
2021-05-31,999279,Meilen / Strandbad Ländeli,Ausgezeichnet,,Kantonales Labor Zürich,8.661150607,47.26321226
2021-06-17,999279,Meilen / Strandbad Ländeli,Ausgezeichnet,,Kantonales Labor Zürich,8.661150607,47.26321226
2020-05-26,999279,Meilen / Strandbad Ländeli,Ausgezeichnet,,Kantonales Labor Zürich,8.661150607,47.26321226
2020-06-23,999279,Meilen / Strandbad Ländeli,Ausgezeichnet,,Kantonales Labor Zürich,8.661150607,47.26321226
2020-08-17,999279,Meilen / Strandbad Ländeli,Ausgezeichnet,,Kantonales Labor Zürich,8.661150607,47.26321226
2021-05-31,999279,Meilen / Strandbad Ländeli,Ausgezeichnet,,Kantonales Labor Zürich,8.661150607,47.26321226
2021-06-17,999279,Meilen / Strandbad Ländeli,Ausgezeichnet,,Kantonales Labor Zürich,8.661150607,47.26321226
2021-05-31,999280,Meilen / Strandbad Dorfmeilen,Ausgezeichnet,,Kantonales Labor Zürich,8.648648271,47.26766685
2019-07-24,999280,Meilen / Strandbad Dorfmeilen,Ausgezeichnet,,Kantonales Labor Zürich,8.648648271,47.26766685
2020-05-26,999280,Meilen / Strandbad Dorfmeilen,Ausgezeichnet,,Kantonales Labor Zürich,8.648648271,47.26766685
2020-07-20,999280,Meilen / Strandbad Dorfmeilen,Ausgezeichnet,,Kantonales Labor Zürich,8.648648271,47.26766685
2021-05-31,999280,Meilen / Strandbad Dorfmeilen,Ausgezeichnet,,Kantonales Labor Zürich,8.648648271,47.26766685
2021-07-15,999280,Meilen / Strandbad Dorfmeilen,Gut,,Kantonales Labor Zürich,8.648648271,47.26766685
2021-05-31,999281,Horgen / Parkbad Seerose,Ausgezeichnet,,Kantonales Labor Zürich,8.594306389,47.26295734
2019-07-24,999281,Horgen / Parkbad Seerose,Ausgezeichnet,,Kantonales Labor Zürich,8.594306389,47.26295734
2020-05-27,999281,Horgen / Parkbad Seerose,Ausgezeichnet,,Kantonales Labor Zürich,8.594306389,47.26295734
2020-07-20,999281,Horgen / Parkbad Seerose,Ausgezeichnet,,Kantonales Labor Zürich,8.594306389,47.26295734
2021-05-31,999281,Horgen / Parkbad Seerose,Ausgezeichnet,,Kantonales Labor Zürich,8.594306389,47.26295734
2021-07-15,999281,Horgen / Parkbad Seerose,Gut,,Kantonales Labor Zürich,8.594306389,47.26295734
2021-05-31,999282,Horgen / Sportbad Käpfnach,Ausgezeichnet,,Kantonales Labor Zürich,8.617624794,47.25555171
2021-06-17,999282,Horgen / Sportbad Käpfnach,Ausgezeichnet,,Kantonales Labor Zürich,8.617624794,47.25555171
2019-08-20,999282,Horgen / Sportbad Käpfnach,Ausgezeichnet,,Kantonales Labor Zürich,8.617624794,47.25555171
2020-05-27,999282,Horgen / Sportbad Käpfnach,Ausgezeichnet,,Kantonales Labor Zürich,8.617624794,47.25555171
2020-06-23,999282,Horgen / Sportbad Käpfnach,Ausgezeichnet,,Kantonales Labor Zürich,8.617624794,47.25555171
2020-08-17,999282,Horgen / Sportbad Käpfnach,Ausgezeichnet,,Kantonales Labor Zürich,8.617624794,47.25555171
2021-05-31,999282,Horgen / Sportbad Käpfnach,Ausgezeichnet,,Kantonales Labor Zürich,8.617624794,47.25555171
2021-06-17,999282,Horgen / Sportbad Käpfnach,Ausgezeichnet,,Kantonales Labor Zürich,8.617624794,47.25555171
2021-05-31,999283,Wädenswil / Badewiese Naglikon,Ausgezeichnet,,Kantonales Labor Zürich,8.634445028,47.25026889
2019-07-24,999283,Wädenswil / Badewiese Naglikon,Ausgezeichnet,,Kantonales Labor Zürich,8.634445028,47.25026889
2020-05-27,999283,Wädenswil / Badewiese Naglikon,Ausgezeichnet,,Kantonales Labor Zürich,8.634445028,47.25026889
2020-07-20,999283,Wädenswil / Badewiese Naglikon,Ausgezeichnet,,Kantonales Labor Zürich,8.634445028,47.25026889
2021-05-31,999283,Wädenswil / Badewiese Naglikon,Ausgezeichnet,,Kantonales Labor Zürich,8.634445028,47.25026889
2021-07-15,999283,Wädenswil / Badewiese Naglikon,Ausgezeichnet,,Kantonales Labor Zürich,8.634445028,47.25026889
2021-05-31,999284,Wädenswil / Strandbad Rietliau,Ausgezeichnet,,Kantonales Labor Zürich,8.661626277,47.23954862
2021-06-17,999284,Wädenswil / Strandbad Rietliau,Ausgezeichnet,,Kantonales Labor Zürich,8.661626277,47.23954862
2019-07-24,999284,Wädenswil / Strandbad Rietliau,Ausgezeichnet,,Kantonales Labor Zürich,8.661626277,47.23954862
2019-08-20,999284,Wädenswil / Strandbad Rietliau,Gut,,Kantonales Labor Zürich,8.661626277,47.23954862
2020-05-27,999284,Wädenswil / Strandbad Rietliau,Ausgezeichnet,,Kantonales Labor Zürich,8.661626277,47.23954862
2020-06-23,999284,Wädenswil / Strandbad Rietliau,Ausgezeichnet,,Kantonales Labor Zürich,8.661626277,47.23954862
2020-07-20,999284,Wädenswil / Strandbad Rietliau,Ausgezeichnet,,Kantonales Labor Zürich,8.661626277,47.23954862
2020-08-17,999284,Wädenswil / Strandbad Rietliau,Ausgezeichnet,,Kantonales Labor Zürich,8.661626277,47.23954862
2021-05-31,999284,Wädenswil / Strandbad Rietliau,Ausgezeichnet,,Kantonales Labor Zürich,8.661626277,47.23954862
2021-06-17,999284,Wädenswil / Strandbad Rietliau,Ausgezeichnet,,Kantonales Labor Zürich,8.661626277,47.23954862
2021-07-15,999284,Wädenswil / Strandbad Rietliau,Gut,,Kantonales Labor Zürich,8.661626277,47.23954862
2021-05-31,999285,Wädenswil / Seebad Dorf,Ausgezeichnet,,Kantonales Labor Zürich,8.673861638,47.23172673
2019-07-24,999285,Wädenswil / Seebad Dorf,Ausgezeichnet,,Kantonales Labor Zürich,8.673861638,47.23172673
2020-05-27,999285,Wädenswil / Seebad Dorf,Ausgezeichnet,,Kantonales Labor Zürich,8.673861638,47.23172673
2020-07-20,999285,Wädenswil / Seebad Dorf,Ausgezeichnet,,Kantonales Labor Zürich,8.673861638,47.23172673
2021-05-31,999285,Wädenswil / Seebad Dorf,Ausgezeichnet,,Kantonales Labor Zürich,8.673861638,47.23172673
2021-07-15,999285,Wädenswil / Seebad Dorf,Ausgezeichnet,,Kantonales Labor Zürich,8.673861638,47.23172673
2021-05-31,999286,Richterswil / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.712589656,47.20647641
